year	country	city	stage	home_team	away_team	home_score	away_score	outcome	win_conditions	winning_team	losing_team	date
1930	Uruguay	Montevideo	Group1	France	Mexico	4	1	H	NA	France	Mexico	13/07/1930
1930	Uruguay	Montevideo	Group4	Belgium	USA	0	3	A	NA	USA	Belgium	13/07/1930
1930	Uruguay	Montevideo	Group2	Brazil	Yugoslavia	1	2	A	NA	Yugoslavia	Brazil	14/07/1930
1930	Uruguay	Montevideo	Group3	Peru	Romania	1	3	A	NA	Romania	Peru	14/07/1930
1930	Uruguay	Montevideo	Group1	Argentina	France	1	0	H	NA	Argentina	France	15/07/1930
1930	Uruguay	Montevideo	Group1	Chile	Mexico	3	0	H	NA	Chile	Mexico	16/07/1930
1930	Uruguay	Montevideo	Group2	Bolivia	Yugoslavia	0	4	A	NA	Yugoslavia	Bolivia	17/07/1930
1930	Uruguay	Montevideo	Group4	Paraguay	USA	0	3	A	NA	USA	Paraguay	17/07/1930
1930	Uruguay	Montevideo	Group3	Uruguay	Peru	1	0	H	NA	Uruguay	Peru	18/07/1930
1930	Uruguay	Montevideo	Group1	Argentina	Mexico	6	3	H	NA	Argentina	Mexico	19/07/1930
1930	Uruguay	Montevideo	Group1	Chile	France	1	0	H	NA	Chile	France	19/07/1930
1930	Uruguay	Montevideo	Group4	Belgium	Paraguay	0	1	A	NA	Paraguay	Belgium	20/07/1930
1930	Uruguay	Montevideo	Group2	Bolivia	Brazil	0	4	A	NA	Brazil	Bolivia	20/07/1930
1930	Uruguay	Montevideo	Group3	Uruguay	Romania	4	0	H	NA	Uruguay	Romania	21/07/1930
1930	Uruguay	Montevideo	Group1	Argentina	Chile	3	1	H	NA	Argentina	Chile	22/07/1930
1930	Uruguay	Montevideo	Semifinals	Argentina	USA	6	1	H	NA	Argentina	USA	26/07/1930
1930	Uruguay	Montevideo	Semifinals	Uruguay	Yugoslavia	6	1	H	NA	Uruguay	Yugoslavia	27/07/1930
1930	Uruguay	Montevideo	Final	Uruguay	Argentina	4	2	H	NA	Uruguay	Argentina	30/07/1930
1934	Italy	Bologna	R16	Argentina	Sweden	2	3	A	NA	Sweden	Argentina	27/05/1934
1934	Italy	Turin	R16	Austria	France	3	2	H	Austria-won-in-AET	Austria	France	27/05/1934
1934	Italy	Florence	R16	Belgium	Germany	2	5	A	NA	Germany	Belgium	27/05/1934
1934	Italy	Genoa	R16	Brazil	Spain	1	3	A	NA	Spain	Brazil	27/05/1934
1934	Italy	Trieste	R16	Czechoslovakia	Romania	2	1	H	NA	Czechoslovakia	Romania	27/05/1934
1934	Italy	Naples	R16	Egypt	Hungary	2	4	A	NA	Hungary	Egypt	27/05/1934
1934	Italy	Rome	R16	Italy	USA	7	1	H	NA	Italy	USA	27/05/1934
1934	Italy	Milan	R16	Netherlands	Switzerland	2	3	A	NA	Switzerland	Netherlands	27/05/1934
1934	Italy	Bologna	Quartfinals	Austria	Hungary	2	1	H	NA	Austria	Hungary	31/05/1934
1934	Italy	Turin	Quartfinals	Czechoslovakia	Switzerland	3	2	H	NA	Czechoslovakia	Switzerland	31/05/1934
1934	Italy	Milan	Quartfinals	Germany	Sweden	2	1	H	NA	Germany	Sweden	31/05/1934
1934	Italy	Florence	Quartfinals	Italy	Spain	1	1	D	NA	NA	NA	31/05/1934
1934	Italy	Florence	Quartfinals	Italy	Spain	1	0	H	NA	Italy	Spain	01/06/1934
1934	Italy	Rome	Semifinals	Czechoslovakia	Germany	3	1	H	NA	Czechoslovakia	Germany	03/06/1934
1934	Italy	Milan	Semifinals	Italy	Austria	1	0	H	NA	Italy	Austria	03/06/1934
1934	Italy	Naples	Third-place	Austria	Germany	2	3	A	NA	West-Germany	Austria	07/06/1934
1934	Italy	Rome	Final	Italy	Czechoslovakia	2	1	H	Italy-won-in-AET	Italy	Czechoslovakia	10/06/1934
1938	France	Paris	R16	Germany	Switzerland	1	1	D	NA	NA	NA	04/06/1938
1938	France	Strasbourg	R16	Brazil	Poland	6	5	H	Brazil-won-in-AET	Brazil	Poland	05/06/1938
1938	France	Toulouse	R16	Cuba	Romania	3	3	D	NA	NA	NA	05/06/1938
1938	France	Le-Havre	R16	Czechoslovakia	Netherlands	3	0	H	Czechoslovakia-won-in-AET	Czechoslovakia	Netherlands	05/06/1938
1938	France	Colombes	R16	France	Belgium	3	1	H	NA	France	Belgium	05/06/1938
1938	France	Reims	R16	Hungary	Dutch-West-Indies	6	0	H	NA	Hungary	Dutch-West-Indies	05/06/1938
1938	France	Marseille	R16	Italy	Norway	2	1	H	Italy-won-in-AET	Italy	Norway	05/06/1938
1938	France	Toulouse	R16	Cuba	Romania	2	1	H	NA	Cuba	Romania	09/06/1938
1938	France	Paris	R16	Germany	Switzerland	2	4	A	NA	Switzerland	Germany	09/06/1938
1938	France	Bordeaux	Quartfinals	Brazil	Czechoslovakia	1	1	D	NA	NA	NA	12/06/1938
1938	France	Antibes	Quartfinals	Cuba	Sweden	0	8	A	NA	Sweden	Cuba	12/06/1938
1938	France	Colombes	Quartfinals	France	Italy	1	3	A	NA	Italy	France	12/06/1938
1938	France	Lille	Quartfinals	Hungary	Switzerland	2	0	H	NA	Hungary	Switzerland	12/06/1938
1938	France	Bordeaux	Quartfinals	Brazil	Czechoslovakia	2	1	H	NA	Brazil	Czechoslovakia	14/06/1938
1938	France	Marseille	Semifinals	Brazil	Italy	1	2	A	NA	Italy	Brazil	16/06/1938
1938	France	Paris	Semifinals	Hungary	Sweden	5	1	H	NA	Hungary	Sweden	16/06/1938
1938	France	Bordeaux	Third-place	Brazil	Sweden	4	2	H	NA	Brazil	Sweden	19/06/1938
1938	France	Colombes	Final	Hungary	Italy	2	4	A	NA	Italy	Hungary	19/06/1938
1950	Brazil	Rio-de-Janeiro	Group1	Brazil	Mexico	4	0	H	NA	Brazil	Mexico	24/06/1950
1950	Brazil	Rio-de-Janeiro	Group2	Chile	England	0	2	A	NA	England	Chile	25/06/1950
1950	Brazil	Sao-Paulo	Group3	Italy	Sweden	2	3	A	NA	Sweden	Italy	25/06/1950
1950	Brazil	Curitiba	Group2	Spain	USA	3	1	H	NA	Spain	USA	25/06/1950
1950	Brazil	Belo-Horizonte	Group1	Switzerland	Yugoslavia	0	3	A	NA	Yugoslavia	Switzerland	25/06/1950
1950	Brazil	Sao-Paulo	Group1	Brazil	Switzerland	2	2	D	NA	NA	NA	28/06/1950
1950	Brazil	Porto-Alegre	Group1	Mexico	Yugoslavia	1	4	A	NA	Yugoslavia	Mexico	28/06/1950
1950	Brazil	Rio-de-Janeiro	Group2	Chile	Spain	0	2	A	NA	Spain	Chile	29/06/1950
1950	Brazil	Belo-Horizonte	Group2	England	USA	0	1	A	NA	USA	England	29/06/1950
1950	Brazil	Curitiba	Group3	Paraguay	Sweden	2	2	D	NA	NA	NA	29/06/1950
1950	Brazil	Rio-de-Janeiro	Group1	Brazil	Yugoslavia	2	0	H	NA	Brazil	Yugoslavia	01/07/1950
1950	Brazil	Belo-Horizonte	Group4	Bolivia	Uruguay	0	8	A	NA	Uruguay	Bolivia	02/07/1950
1950	Brazil	Recife	Group2	Chile	USA	5	2	H	NA	Chile	USA	02/07/1950
1950	Brazil	Rio-de-Janeiro	Group2	England	Spain	0	1	A	NA	Spain	England	02/07/1950
1950	Brazil	Sao-Paulo	Group3	Italy	Paraguay	2	0	H	NA	Italy	Paraguay	02/07/1950
1950	Brazil	Porto-Alegre	Group1	Mexico	Switzerland	1	2	A	NA	Switzerland	Mexico	02/07/1950
1950	Brazil	Rio-de-Janeiro	Final-Round	Brazil	Sweden	7	1	H	NA	Brazil	Sweden	09/07/1950
1950	Brazil	Sao-Paulo	Final-Round	Spain	Uruguay	2	2	D	NA	NA	NA	09/07/1950
1950	Brazil	Rio-de-Janeiro	Final-Round	Brazil	Spain	6	1	H	NA	Brazil	Spain	13/07/1950
1950	Brazil	Sao-Paulo	Final-Round	Sweden	Uruguay	2	3	A	NA	Uruguay	Sweden	13/07/1950
1950	Brazil	Rio-de-Janeiro	Final-Round	Brazil	Uruguay	1	2	A	NA	Uruguay	Brazil	16/07/1950
1950	Brazil	Sao-Paulo	Final-Round	Spain	Sweden	1	3	A	NA	Sweden	Spain	16/07/1950
1954	Switzerland	Zurich	Group3	Austria	Scotland	1	0	H	NA	Austria	Scotland	16/06/1954
1954	Switzerland	Geneva	Group1	Brazil	Mexico	5	0	H	NA	Brazil	Mexico	16/06/1954
1954	Switzerland	Berne	Group3	Czechoslovakia	Uruguay	0	2	A	NA	Uruguay	Czechoslovakia	16/06/1954
1954	Switzerland	Lausanne	Group1	France	Yugoslavia	0	1	A	NA	Yugoslavia	France	16/06/1954
1954	Switzerland	Basel	Group4	Belgium	England	4	4	D	NA	NA	NA	17/06/1954
1954	Switzerland	Berne	Group2	West-Germany	Turkey	4	1	H	NA	West-Germany	Turkey	17/06/1954
1954	Switzerland	Zurich	Group2	Hungary	South-Korea	9	0	H	NA	Hungary	South-Korea	17/06/1954
1954	Switzerland	Lausanne	Group4	Switzerland	Italy	2	1	H	NA	Switzerland	Italy	17/06/1954
1954	Switzerland	Zurich	Group3	Austria	Czechoslovakia	5	0	H	NA	Austria	Czechoslovakia	19/06/1954
1954	Switzerland	Lausanne	Group1	Brazil	Yugoslavia	1	1	D	NA	NA	NA	19/06/1954
1954	Switzerland	Geneva	Group1	France	Mexico	3	2	H	NA	France	Mexico	19/06/1954
1954	Switzerland	Basel	Group3	Scotland	Uruguay	0	7	A	NA	Uruguay	Scotland	19/06/1954
1954	Switzerland	Lugano	Group4	Belgium	Italy	1	4	A	NA	Italy	Belgium	20/06/1954
1954	Switzerland	Basel	Group2	West-Germany	Hungary	3	8	A	NA	Hungary	West-Germany	20/06/1954
1954	Switzerland	Geneva	Group2	South-Korea	Turkey	0	7	A	NA	Turkey	South-Korea	20/06/1954
1954	Switzerland	Berne	Group4	Switzerland	England	0	2	A	NA	England	Switzerland	20/06/1954
1954	Switzerland	Zurich	Group2	West-Germany	Turkey	7	2	H	NA	West-Germany	Turkey	23/06/1954
1954	Switzerland	Basel	Group4	Switzerland	Italy	4	1	H	NA	Switzerland	Italy	23/06/1954
1954	Switzerland	Basel	Quartfinals	England	Uruguay	2	4	A	NA	Uruguay	England	26/06/1954
1954	Switzerland	Lausanne	Quartfinals	Switzerland	Austria	5	7	A	NA	Austria	Switzerland	26/06/1954
1954	Switzerland	Berne	Quartfinals	Brazil	Hungary	2	4	A	NA	Hungary	Brazil	27/06/1954
1954	Switzerland	Geneva	Quartfinals	West-Germany	Yugoslavia	2	0	H	NA	West-Germany	Yugoslavia	27/06/1954
1954	Switzerland	Basel	Semifinals	Austria	West-Germany	1	6	A	NA	West-Germany	Austria	30/06/1954
1954	Switzerland	Lausanne	Semifinals	Hungary	Uruguay	4	2	H	Hungary-won-in-AET	Hungary	Uruguay	30/06/1954
1954	Switzerland	Zurich	Third-place	Austria	Uruguay	3	1	H	NA	Austria	Uruguay	03/07/1954
1954	Switzerland	Berne	Final	West-Germany	Hungary	3	2	H	NA	West-Germany	Hungary	04/07/1954
1958	Sweden	Malmo	Group1	Argentina	West-Germany	1	3	A	NA	West-Germany	Argentina	08/06/1958
